age,base_train_sources
1,754
2,329
3,197
4,162
5,118
6,71
7,86
8,148
9,105
10,80
11,40
12,69
13,46
14,94
15,85
16,134
17,60
18,119
19,36
20,69
21,68
22,86
23,61
24,113
25,102
26,188
27,92
28,93
29,105
30,69
31,68
32,74
33,29
34,65
35,76
36,75
37,55
38,58
39,83
40,46
41,31
42,58
43,35
44,15
45,37
46,38
47,41
48,46
49,57
50,65
51,31
52,89
53,80
54,64
55,35
56,90
57,38
58,55
59,35
60,81
61,26
62,50
63,29
64,14
65,72
66,28
67,23
68,34
69,21
70,26
71,9
72,31
73,17
74,6
75,48
76,13
77,9
78,18
79,12
80,26
81,3
82,16
83,1
84,3
85,75
86,14
87,2
88,6
89,8
90,2
92,1
93,1
95,1
99,1
